devicetimestamp,vl1,vl2,vl3,il1,il2,il3,vl12,vl23,vl31,inut,oti,wti,ati,oli,oti_a,oti_t,mog_a
2019-07-03 16:05:00,247.5,247.6,247.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,39.0,1.0,0.0,0.0
2020-03-27 18:30:00,242.4,240.6,239.4,69.0,49.1,77.1,418.0,414.9,419.0,25.0,35.0,1.0,33.0,100.0,0.0,0.0,0.0
2019-07-18 22:45:00,226.8,225.5,228.1,102.2,94.4,133.2,389.5,391.4,395.0,39.4,34.0,0.0,30.0,39.0,0.0,0.0,1.0
2019-07-18 11:45:00,228.1,226.0,228.3,119.8,166.0,106.9,393.3,395.0,397.4,53.4,46.0,0.0,35.0,39.0,0.0,0.0,1.0
2019-11-01 05:00:00,248.9,247.7,245.9,38.5,41.0,55.0,429.6,427.6,429.9,15.5,26.0,0.0,23.0,88.0,0.0,0.0,0.0
2019-11-01 05:45:00,248.4,247.9,245.9,43.6,32.1,52.6,429.4,427.6,429.2,15.6,25.0,0.0,23.0,89.0,0.0,0.0,0.0
2019-11-10 17:15:00,248.4,248.9,244.9,59.7,49.6,88.1,430.3,427.9,431.2,34.5,22.0,0.0,23.0,100.0,0.0,0.0,0.0
2019-09-04 09:00:00,235.1,234.6,234.4,61.7,82.9,72.4,405.4,405.0,405.8,18.4,36.0,0.0,31.0,42.0,0.0,0.0,0.0
2019-09-18 03:15:00,235.7,236.0,237.5,59.2,52.0,66.7,409.0,412.3,410.4,12.8,30.0,0.0,27.0,44.0,0.0,0.0,0.0
2019-11-04 06:15:00,248.7,247.8,246.1,34.0,37.2,44.8,429.6,428.1,429.4,9.4,24.0,0.0,23.0,93.0,0.0,0.0,0.0
2019-06-27 13:04:00,240.8,240.9,240.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-29 12:52:00,241.7,241.7,241.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0
2019-09-29 23:15:00,235.4,237.7,233.7,71.3,36.1,78.7,408.5,409.7,405.7,39.2,24.0,0.0,24.0,55.0,0.0,0.0,0.0
2019-11-15 09:45:00,244.4,243.6,241.7,54.1,39.2,66.2,422.2,419.8,422.5,23.1,28.0,0.0,28.0,95.0,0.0,0.0,0.0
2020-03-30 16:15:00,244.4,243.8,243.4,70.7,37.4,52.8,423.1,420.9,424.0,28.9,44.0,1.0,38.0,100.0,0.0,0.0,0.0
2020-03-25 04:15:00,252.9,252.3,250.7,48.8,21.4,49.9,437.6,434.5,438.0,28.0,22.0,1.0,22.0,100.0,0.0,0.0,0.0
2020-03-29 14:00:00,243.1,242.0,241.1,70.1,41.8,60.5,420.6,417.4,420.6,24.3,45.0,1.0,42.0,100.0,0.0,0.0,0.0
2020-01-21 08:15:00,249.2,248.0,247.0,43.8,32.2,68.1,430.8,427.9,431.0,32.3,16.0,1.0,16.0,100.0,0.0,0.0,0.0
